Event,Total,Start,End
Epitome Invocation 08,13821,2021-02-23,2021-03-16
Epitome Invocation 09,4848,2021-03-17,2021-04-06
Epitome Invocation 10,13813,2021-04-06,2021-04-27
Epitome Invocation 11,4322,2021-04-28,2021-05-18
Epitome Invocation 12,35495,2021-05-18,2021-06-08
Epitome Invocation 13,16520,2021-06-09,2021-06-29
Epitome Invocation 14,29158,2021-06-29,2021-07-20
Epitome Invocation 15,136884,2021-07-21,2021-08-10
Epitome Invocation 16,58317,2021-08-10,2021-08-31
Epitome Invocation 17,177246,2021-09-01,2021-09-21
Epitome Invocation 18,99192,2021-09-21,2021-10-12
Epitome Invocation 19,119877,2021-10-13,2021-11-02
Epitome Invocation 20,397134,2021-11-02,2021-11-23
Epitome Invocation 21,95554,2021-11-24,2021-12-14
Epitome Invocation 22,122040,2021-12-14,2022-01-04
Epitome Invocation 23,105071,2022-01-05,2022-01-25
Epitome Invocation 24,95998,2022-01-25,2022-02-15
Epitome Invocation 25,166334,2022-02-16,2022-03-08
Epitome Invocation 26,99081,2022-03-08,2022-03-29
Epitome Invocation 27,111188,2022-03-30,2022-04-19
Epitome Invocation 28,246977,2022-04-19,2022-05-31
Epitome Invocation 29,157023,2022-05-31,2022-06-21
Epitome Invocation 30,44349,2022-06-21,2022-07-12
Epitome Invocation 31,79027,2022-07-13,2022-08-02
Epitome Invocation 32,66085,2022-08-02,2022-08-23
Epitome Invocation 33,49222,2022-08-24,2022-09-09
Epitome Invocation 34,35346,2022-09-09,2022-09-27
Epitome Invocation 35,100388,2022-09-28,2022-10-14
Epitome Invocation 36,132595,2022-10-14,2022-11-01
Epitome Invocation 37,156895,2022-11-02,2022-11-18
Epitome Invocation 38,66253,2022-11-18,2022-12-06
Epitome Invocation 39,105277,2022-12-07,2022-12-27
Epitome Invocation 40,142197,2022-12-27,2023-01-17
Epitome Invocation 41,95714,2023-01-18,2023-02-07
Epitome Invocation 42,245032,2023-02-07,2023-02-28
Epitome Invocation 43,64279,2023-03-01,2023-03-21
Epitome Invocation 44,125472,2023-03-21,2023-04-11
Epitome Invocation 45,75842,2023-04-12,2023-05-02
Epitome Invocation 46,21068,2023-05-02,2023-05-23
Epitome Invocation 47,41838,2023-05-24,2023-06-13
Epitome Invocation 48,71163,2023-06-13,2023-07-04
Epitome Invocation 49,29350,2023-07-05,2023-07-25
Epitome Invocation 50,38488,2023-07-25,2023-08-15
Epitome Invocation 51,95837,2023-08-16,2023-09-05
Epitome Invocation 52,20025,2023-09-05,2023-09-26
Epitome Invocation 53,200376,2023-09-27,2023-10-17
Epitome Invocation 54,50253,2023-10-17,2023-11-07
Epitome Invocation 55,136843,2023-11-08,2023-11-28
Epitome Invocation 56,30905,2023-11-28,2023-12-19
Epitome Invocation 57,95587,2023-12-20,2024-01-09
Epitome Invocation 58,54862,2024-01-09,2024-01-30
Epitome Invocation 59,33402,2024-01-31,2024-02-20
Epitome Invocation 60,12977,2024-02-20,2024-03-12
Epitome Invocation 61,16246,2024-03-13,2024-04-02
